            JDTDB,            Calendar_Date,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454371.5, A.D. 2007-Sep-28 00:00:00.0000,1.49E+08,1.17E+07,1.68E+04,-3.27E+00,3.35E+01,3.60E-01,5.00E+02,1.50E+08,-6.54E-01
2454372.5, A.D. 2007-Sep-29 00:00:00.0000,1.49E+08,1.45E+07,4.60E+04,-3.75E+00,3.31E+01,3.28E-01,5.00E+02,1.50E+08,-5.27E-01
2454373.5, A.D. 2007-Sep-30 00:00:00.0000,1.49E+08,1.74E+07,7.40E+04,-4.25E+00,3.29E+01,3.20E-01,5.00E+02,1.50E+08,-4.00E-01
2454374.5, A.D. 2007-Oct-01 00:00:00.0000,1.48E+08,2.02E+07,1.01E+05,-4.75E+00,3.28E+01,3.16E-01,5.00E+02,1.50E+08,-2.76E-01
2454375.5, A.D. 2007-Oct-02 00:00:00.0000,1.48E+08,2.31E+07,1.29E+05,-5.25E+00,3.27E+01,3.14E-01,5.00E+02,1.50E+08,-1.53E-01
2454376.5, A.D. 2007-Oct-03 00:00:00.0000,1.48E+08,2.59E+07,1.56E+05,-5.76E+00,3.26E+01,3.12E-01,5.00E+02,1.50E+08,-3.14E-02
2454377.5, A.D. 2007-Oct-04 00:00:00.0000,1.47E+08,2.87E+07,1.83E+05,-6.26E+00,3.25E+01,3.10E-01,5.00E+02,1.50E+08,9.02E-02
2454378.5, A.D. 2007-Oct-05 00:00:00.0000,1.46E+08,3.15E+07,2.09E+05,-6.76E+00,3.24E+01,3.09E-01,5.00E+02,1.50E+08,2.11E-01
2454379.5, A.D. 2007-Oct-06 00:00:00.0000,1.46E+08,3.43E+07,2.36E+05,-7.26E+00,3.23E+01,3.08E-01,5.00E+02,1.50E+08,3.32E-01
2454380.5, A.D. 2007-Oct-07 00:00:00.0000,1.45E+08,3.71E+07,2.62E+05,-7.75E+00,3.22E+01,3.06E-01,5.00E+02,1.50E+08,4.53E-01
2454381.5, A.D. 2007-Oct-08 00:00:00.0000,1.45E+08,3.99E+07,2.89E+05,-8.24E+00,3.20E+01,3.05E-01,5.00E+02,1.50E+08,5.72E-01
2454382.5, A.D. 2007-Oct-09 00:00:00.0000,1.44E+08,4.26E+07,3.15E+05,-8.73E+00,3.19E+01,3.03E-01,5.00E+02,1.50E+08,6.91E-01
2454383.5, A.D. 2007-Oct-10 00:00:00.0000,1.43E+08,4.54E+07,3.41E+05,-9.22E+00,3.17E+01,3.03E-01,5.00E+02,1.50E+08,8.10E-01
2454384.5, A.D. 2007-Oct-11 00:00:00.0000,1.42E+08,4.81E+07,3.67E+05,-9.71E+00,3.16E+01,3.02E-01,5.01E+02,1.50E+08,9.29E-01
2454385.5, A.D. 2007-Oct-12 00:00:00.0000,1.41E+08,5.08E+07,3.93E+05,-1.02E+01,3.14E+01,3.00E-01,5.01E+02,1.50E+08,1.05E+00
