            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454371.5, A.D. 2007-Sep-28 00:00:00.0000,1.49E+08,1.15E+07,-8.26E+02,-2.76E+00,2.96E+01,-1.40E-03,5.00E+02,1.50E+08,-4.90E-01
2454372.5, A.D. 2007-Sep-29 00:00:00.0000,1.49E+08,1.40E+07,-9.37E+02,-3.27E+00,2.95E+01,-1.16E-03,5.00E+02,1.50E+08,-4.88E-01
2454373.5, A.D. 2007-Sep-30 00:00:00.0000,1.49E+08,1.66E+07,-1.03E+03,-3.77E+00,2.95E+01,-8.88E-04,5.00E+02,1.50E+08,-4.87E-01
2454374.5, A.D. 2007-Oct-01 00:00:00.0000,1.49E+08,1.91E+07,-1.09E+03,-4.28E+00,2.94E+01,-5.99E-04,5.00E+02,1.50E+08,-4.86E-01
2454375.5, A.D. 2007-Oct-02 00:00:00.0000,1.48E+08,2.17E+07,-1.13E+03,-4.78E+00,2.94E+01,-3.14E-04,5.00E+02,1.50E+08,-4.86E-01
2454376.5, A.D. 2007-Oct-03 00:00:00.0000,1.48E+08,2.42E+07,-1.14E+03,-5.29E+00,2.93E+01,-5.18E-05,4.99E+02,1.50E+08,-4.86E-01
2454377.5, A.D. 2007-Oct-04 00:00:00.0000,1.47E+08,2.67E+07,-1.14E+03,-5.79E+00,2.92E+01,1.74E-04,4.99E+02,1.50E+08,-4.87E-01
2454378.5, A.D. 2007-Oct-05 00:00:00.0000,1.47E+08,2.92E+07,-1.12E+03,-6.30E+00,2.91E+01,3.55E-04,4.99E+02,1.50E+08,-4.88E-01
2454379.5, A.D. 2007-Oct-06 00:00:00.0000,1.46E+08,3.18E+07,-1.08E+03,-6.80E+00,2.90E+01,4.84E-04,4.99E+02,1.50E+08,-4.89E-01
2454380.5, A.D. 2007-Oct-07 00:00:00.0000,1.46E+08,3.43E+07,-1.03E+03,-7.30E+00,2.89E+01,5.60E-04,4.99E+02,1.50E+08,-4.90E-01
2454381.5, A.D. 2007-Oct-08 00:00:00.0000,1.45E+08,3.67E+07,-9.84E+02,-7.80E+00,2.88E+01,5.81E-04,4.99E+02,1.50E+08,-4.92E-01
2454382.5, A.D. 2007-Oct-09 00:00:00.0000,1.44E+08,3.92E+07,-9.35E+02,-8.30E+00,2.86E+01,5.50E-04,4.99E+02,1.49E+08,-4.94E-01
2454383.5, A.D. 2007-Oct-10 00:00:00.0000,1.43E+08,4.17E+07,-8.90E+02,-8.80E+00,2.85E+01,4.71E-04,4.98E+02,1.49E+08,-4.95E-01
2454384.5, A.D. 2007-Oct-11 00:00:00.0000,1.43E+08,4.42E+07,-8.55E+02,-9.29E+00,2.84E+01,3.48E-04,4.98E+02,1.49E+08,-4.97E-01
2454385.5, A.D. 2007-Oct-12 00:00:00.0000,1.42E+08,4.66E+07,-8.31E+02,-9.79E+00,2.82E+01,1.89E-04,4.98E+02,1.49E+08,-4.98E-01
2454386.5, A.D. 2007-Oct-13 00:00:00.0000,1.41E+08,4.90E+07,-8.23E+02,-1.03E+01,2.80E+01,5.51E-07,4.98E+02,1.49E+08,-5.00E-01
2454387.5, A.D. 2007-Oct-14 00:00:00.0000,1.40E+08,5.14E+07,-8.32E+02,-1.08E+01,2.79E+01,-2.10E-04,4.98E+02,1.49E+08,-5.01E-01
