            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454149.5, A.D. 2007-Feb-18 00:00:00.0000,3.20E+06,-2.17E+08,-4.63E+06,2.51E+01,2.44E+00,-5.66E-01,7.25E+02,2.17E+08,-2.05E+00
2454151.5, A.D. 2007-Feb-20 00:00:00.0000,7.55E+06,-2.17E+08,-4.73E+06,2.51E+01,2.92E+00,-5.56E-01,7.24E+02,2.17E+08,-2.03E+00
2454153.5, A.D. 2007-Feb-22 00:00:00.0000,1.19E+07,-2.16E+08,-4.83E+06,2.51E+01,3.41E+00,-5.45E-01,7.23E+02,2.17E+08,-2.01E+00
2454155.5, A.D. 2007-Feb-24 00:00:00.0000,1.62E+07,-2.16E+08,-4.92E+06,2.51E+01,3.90E+00,-5.34E-01,7.22E+02,2.16E+08,-1.99E+00
2454157.5, A.D. 2007-Feb-26 00:00:00.0000,2.06E+07,-2.15E+08,-5.01E+06,2.50E+01,4.39E+00,-5.23E-01,7.21E+02,2.16E+08,-1.97E+00
2454159.5, A.D. 2007-Feb-28 00:00:00.0000,2.49E+07,-2.14E+08,-5.10E+06,2.50E+01,4.87E+00,-5.12E-01,7.20E+02,2.16E+08,-1.95E+00
2454161.5, A.D. 2007-Mar-02 00:00:00.0000,2.92E+07,-2.13E+08,-5.19E+06,2.49E+01,5.36E+00,-5.00E-01,7.18E+02,2.15E+08,-1.92E+00
2454163.5, A.D. 2007-Mar-04 00:00:00.0000,3.35E+07,-2.12E+08,-5.27E+06,2.48E+01,5.85E+00,-4.88E-01,7.17E+02,2.15E+08,-1.90E+00
2454165.5, A.D. 2007-Mar-06 00:00:00.0000,3.78E+07,-2.11E+08,-5.36E+06,2.48E+01,6.34E+00,-4.75E-01,7.16E+02,2.15E+08,-1.87E+00
2454167.5, A.D. 2007-Mar-08 00:00:00.0000,4.20E+07,-2.10E+08,-5.44E+06,2.47E+01,6.83E+00,-4.63E-01,7.15E+02,2.14E+08,-1.85E+00
2454169.5, A.D. 2007-Mar-10 00:00:00.0000,4.63E+07,-2.09E+08,-5.52E+06,2.46E+01,7.32E+00,-4.50E-01,7.14E+02,2.14E+08,-1.82E+00
2454171.5, A.D. 2007-Mar-12 00:00:00.0000,5.05E+07,-2.08E+08,-5.59E+06,2.45E+01,7.81E+00,-4.37E-01,7.13E+02,2.14E+08,-1.79E+00
2454173.5, A.D. 2007-Mar-14 00:00:00.0000,5.48E+07,-2.06E+08,-5.67E+06,2.43E+01,8.30E+00,-4.24E-01,7.12E+02,2.13E+08,-1.76E+00
2454175.5, A.D. 2007-Mar-16 00:00:00.0000,5.89E+07,-2.05E+08,-5.74E+06,2.42E+01,8.78E+00,-4.10E-01,7.11E+02,2.13E+08,-1.73E+00
2454177.5, A.D. 2007-Mar-18 00:00:00.0000,6.31E+07,-2.03E+08,-5.81E+06,2.41E+01,9.27E+00,-3.97E-01,7.10E+02,2.13E+08,-1.70E+00
2454179.5, A.D. 2007-Mar-20 00:00:00.0000,6.73E+07,-2.02E+08,-5.88E+06,2.39E+01,9.75E+00,-3.83E-01,7.09E+02,2.13E+08,-1.67E+00
2454181.5, A.D. 2007-Mar-22 00:00:00.0000,7.14E+07,-2.00E+08,-5.94E+06,2.37E+01,1.02E+01,-3.69E-01,7.08E+02,2.12E+08,-1.64E+00
2454183.5, A.D. 2007-Mar-24 00:00:00.0000,7.55E+07,-1.98E+08,-6.00E+06,2.36E+01,1.07E+01,-3.54E-01,7.07E+02,2.12E+08,-1.61E+00
2454185.5, A.D. 2007-Mar-26 00:00:00.0000,7.95E+07,-1.96E+08,-6.06E+06,2.34E+01,1.12E+01,-3.40E-01,7.06E+02,2.12E+08,-1.57E+00
2454187.5, A.D. 2007-Mar-28 00:00:00.0000,8.35E+07,-1.94E+08,-6.12E+06,2.32E+01,1.17E+01,-3.25E-01,7.05E+02,2.11E+08,-1.54E+00
2454189.5, A.D. 2007-Mar-30 00:00:00.0000,8.75E+07,-1.92E+08,-6.17E+06,2.30E+01,1.21E+01,-3.10E-01,7.05E+02,2.11E+08,-1.50E+00
2454191.5, A.D. 2007-Apr-01 00:00:00.0000,9.15E+07,-1.90E+08,-6.23E+06,2.27E+01,1.26E+01,-2.95E-01,7.04E+02,2.11E+08,-1.47E+00
2454193.5, A.D. 2007-Apr-03 00:00:00.0000,9.54E+07,-1.88E+08,-6.28E+06,2.25E+01,1.31E+01,-2.80E-01,7.03E+02,2.11E+08,-1.43E+00
2454195.5, A.D. 2007-Apr-05 00:00:00.0000,9.93E+07,-1.85E+08,-6.32E+06,2.23E+01,1.35E+01,-2.64E-01,7.02E+02,2.10E+08,-1.39E+00
2454197.5, A.D. 2007-Apr-07 00:00:00.0000,1.03E+08,-1.83E+08,-6.37E+06,2.20E+01,1.40E+01,-2.49E-01,7.01E+02,2.10E+08,-1.35E+00
2454199.5, A.D. 2007-Apr-09 00:00:00.0000,1.07E+08,-1.81E+08,-6.41E+06,2.18E+01,1.44E+01,-2.33E-01,7.00E+02,2.10E+08,-1.31E+00
2454201.5, A.D. 2007-Apr-11 00:00:00.0000,1.11E+08,-1.78E+08,-6.45E+06,2.15E+01,1.49E+01,-2.17E-01,7.00E+02,2.10E+08,-1.27E+00
