*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Sep  7 13:15:05 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2007-Feb-18 00:00:00.0000 TDB
Stop  time      : A.D. 2009-Feb-18 00:00:00.0000 TDB
Step-size       : 2880 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2454149.500000000, A.D. 2007-Feb-18 00:00:00.0000,  3.204646333886261E+06, -2.173805471433120E+08, -4.633011828806326E+06,  2.514210406436700E+01,  2.437307892211718E+00, -5.664997469727118E-01,  7.253468930991170E+02,  2.174535279848475E+08, -2.053897104635693E+00,
2454151.500000000, A.D. 2007-Feb-20 00:00:00.0000,  7.548302193690252E+06, -2.169174543705814E+08, -4.730002413223192E+06,  2.513006231748755E+01,  2.922784373326654E+00, -5.560317931657283E-01,  7.241685863706505E+02,  2.171002805144426E+08, -2.034468166726221E+00,
2454153.500000000, A.D. 2007-Feb-22 00:00:00.0000,  1.188903060200276E+07, -2.163703619991807E+08, -4.825161051741615E+06,  2.510820693928956E+01,  3.409490917370128E+00, -5.452970566721632E-01,  7.230017328149235E+02,  2.167504666188451E+08, -2.014156666199401E+00,
2454155.500000000, A.D. 2007-Feb-24 00:00:00.0000,  1.622512830076237E+07, -2.157390754965919E+08, -4.918441834238127E+06,  2.507645230366340E+01,  3.897218281212860E+00, -5.342977615354719E-01,  7.218468410001237E+02,  2.164042387629622E+08, -1.992963275791120E+00,
2454157.500000000, A.D. 2007-Feb-26 00:00:00.0000,  2.055487765121667E+07, -2.150234368780084E+08, -5.009799262302041E+06,  2.503471755861030E+01,  4.385752611710273E+00, -5.230364173091278E-01,  7.207044189686949E+02,  2.160617492540869E+08, -1.970889051066020E+00,
2454159.500000000, A.D. 2007-Feb-28 00:00:00.0000,  2.487654745661864E+07, -2.142233254654758E+08, -5.099188286546230E+06,  2.498292677028290E+01,  4.874875889283868E+00, -5.115157674944537E-01,  7.195749739106260E+02,  2.157231501439524E+08, -1.947935793341079E+00,
2454161.500000000, A.D. 2007-Mar-02 00:00:00.0000,  2.918839381939032E+07, -2.133386586309484E+08, -5.186564343105361E+06,  2.492100896937849E+01,  5.364365914756673E+00, -4.997387122924546E-01,  7.184590118292557E+02,  2.153885931285437E+08, -1.924105968098385E+00,
2454163.500000000, A.D. 2007-Mar-04 00:00:00.0000,  3.348866103491611E+07, -2.123693925194168E+08, -5.271883390202239E+06,  2.484889838520172E+01,  5.853996171538956E+00, -4.877083328714840E-01,  7.173570371930315E+02,  2.150582294436963E+08, -1.899402479249185E+00,
