            JDTDB,            Calendar_Date,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454371.5, A.D. 2007-Sep-28 00:00:00.0000,9.76E+07,-3.11E+08,-2.49E+06,2.01E+01,5.31E+00,-2.60E+00,1.09E+03,3.26E+08,9.60E-01
2454372.5, A.D. 2007-Sep-29 00:00:00.0000,9.94E+07,-3.11E+08,-2.72E+06,2.00E+01,5.42E+00,-2.60E+00,1.09E+03,3.26E+08,9.68E-01
2454373.5, A.D. 2007-Sep-30 00:00:00.0000,1.01E+08,-3.10E+08,-2.94E+06,2.00E+01,5.52E+00,-2.60E+00,1.09E+03,3.26E+08,9.76E-01
2454374.5, A.D. 2007-Oct-01 00:00:00.0000,1.03E+08,-3.10E+08,-3.17E+06,2.00E+01,5.62E+00,-2.60E+00,1.09E+03,3.26E+08,9.84E-01
2454375.5, A.D. 2007-Oct-02 00:00:00.0000,1.05E+08,-3.09E+08,-3.39E+06,1.99E+01,5.72E+00,-2.60E+00,1.09E+03,3.27E+08,9.92E-01
2454376.5, A.D. 2007-Oct-03 00:00:00.0000,1.06E+08,-3.09E+08,-3.62E+06,1.99E+01,5.82E+00,-2.59E+00,1.09E+03,3.27E+08,1.00E+00
2454377.5, A.D. 2007-Oct-04 00:00:00.0000,1.08E+08,-3.08E+08,-3.84E+06,1.99E+01,5.93E+00,-2.59E+00,1.09E+03,3.27E+08,1.01E+00
2454378.5, A.D. 2007-Oct-05 00:00:00.0000,1.10E+08,-3.08E+08,-4.06E+06,1.98E+01,6.03E+00,-2.59E+00,1.09E+03,3.27E+08,1.02E+00
2454379.5, A.D. 2007-Oct-06 00:00:00.0000,1.11E+08,-3.07E+08,-4.29E+06,1.98E+01,6.13E+00,-2.59E+00,1.09E+03,3.27E+08,1.02E+00
2454380.5, A.D. 2007-Oct-07 00:00:00.0000,1.13E+08,-3.07E+08,-4.51E+06,1.98E+01,6.23E+00,-2.59E+00,1.09E+03,3.27E+08,1.03E+00
2454381.5, A.D. 2007-Oct-08 00:00:00.0000,1.15E+08,-3.06E+08,-4.74E+06,1.97E+01,6.33E+00,-2.59E+00,1.09E+03,3.27E+08,1.04E+00
2454382.5, A.D. 2007-Oct-09 00:00:00.0000,1.17E+08,-3.06E+08,-4.96E+06,1.97E+01,6.43E+00,-2.59E+00,1.09E+03,3.27E+08,1.05E+00
2454383.5, A.D. 2007-Oct-10 00:00:00.0000,1.18E+08,-3.05E+08,-5.18E+06,1.97E+01,6.53E+00,-2.58E+00,1.09E+03,3.27E+08,1.05E+00
2454384.5, A.D. 2007-Oct-11 00:00:00.0000,1.20E+08,-3.05E+08,-5.41E+06,1.96E+01,6.63E+00,-2.58E+00,1.09E+03,3.27E+08,1.06E+00
2454385.5, A.D. 2007-Oct-12 00:00:00.0000,1.22E+08,-3.04E+08,-5.63E+06,1.96E+01,6.73E+00,-2.58E+00,1.09E+03,3.27E+08,1.07E+00
2454386.5, A.D. 2007-Oct-13 00:00:00.0000,1.23E+08,-3.03E+08,-5.85E+06,1.95E+01,6.83E+00,-2.58E+00,1.09E+03,3.28E+08,1.08E+00
2454387.5, A.D. 2007-Oct-14 00:00:00.0000,1.25E+08,-3.03E+08,-6.07E+06,1.95E+01,6.93E+00,-2.58E+00,1.09E+03,3.28E+08,1.08E+00
2454388.5, A.D. 2007-Oct-15 00:00:00.0000,1.27E+08,-3.02E+08,-6.30E+06,1.95E+01,7.02E+00,-2.57E+00,1.09E+03,3.28E+08,1.09E+00
2454389.5, A.D. 2007-Oct-16 00:00:00.0000,1.28E+08,-3.02E+08,-6.52E+06,1.94E+01,7.12E+00,-2.57E+00,1.09E+03,3.28E+08,1.10E+00
2454390.5, A.D. 2007-Oct-17 00:00:00.0000,1.30E+08,-3.01E+08,-6.74E+06,1.94E+01,7.22E+00,-2.57E+00,1.09E+03,3.28E+08,1.11E+00
2454391.5, A.D. 2007-Oct-18 00:00:00.0000,1.32E+08,-3.00E+08,-6.96E+06,1.93E+01,7.32E+00,-2.57E+00,1.09E+03,3.28E+08,1.11E+00
2454392.5, A.D. 2007-Oct-19 00:00:00.0000,1.33E+08,-3.00E+08,-7.19E+06,1.93E+01,7.42E+00,-2.57E+00,1.09E+03,3.28E+08,1.12E+00
2454393.5, A.D. 2007-Oct-20 00:00:00.0000,1.35E+08,-2.99E+08,-7.41E+06,1.92E+01,7.51E+00,-2.56E+00,1.09E+03,3.28E+08,1.13E+00
2454394.5, A.D. 2007-Oct-21 00:00:00.0000,1.37E+08,-2.98E+08,-7.63E+06,1.92E+01,7.61E+00,-2.56E+00,1.10E+03,3.28E+08,1.14E+00
2454395.5, A.D. 2007-Oct-22 00:00:00.0000,1.38E+08,-2.98E+08,-7.85E+06,1.91E+01,7.71E+00,-2.56E+00,1.10E+03,3.28E+08,1.14E+00
2454396.5, A.D. 2007-Oct-23 00:00:00.0000,1.40E+08,-2.97E+08,-8.07E+06,1.91E+01,7.80E+00,-2.56E+00,1.10E+03,3.28E+08,1.15E+00
2454397.5, A.D. 2007-Oct-24 00:00:00.0000,1.42E+08,-2.96E+08,-8.29E+06,1.91E+01,7.90E+00,-2.55E+00,1.10E+03,3.29E+08,1.16E+00
2454398.5, A.D. 2007-Oct-25 00:00:00.0000,1.43E+08,-2.96E+08,-8.51E+06,1.90E+01,7.99E+00,-2.55E+00,1.10E+03,3.29E+08,1.16E+00
2454399.5, A.D. 2007-Oct-26 00:00:00.0000,1.45E+08,-2.95E+08,-8.73E+06,1.90E+01,8.09E+00,-2.55E+00,1.10E+03,3.29E+08,1.17E+00
2454400.5, A.D. 2007-Oct-27 00:00:00.0000,1.47E+08,-2.94E+08,-8.95E+06,1.89E+01,8.18E+00,-2.55E+00,1.10E+03,3.29E+08,1.18E+00
2454401.5, A.D. 2007-Oct-28 00:00:00.0000,1.48E+08,-2.94E+08,-9.17E+06,1.89E+01,8.28E+00,-2.54E+00,1.10E+03,3.29E+08,1.19E+00
2454402.5, A.D. 2007-Oct-29 00:00:00.0000,1.50E+08,-2.93E+08,-9.39E+06,1.88E+01,8.37E+00,-2.54E+00,1.10E+03,3.29E+08,1.19E+00
2454403.5, A.D. 2007-Oct-30 00:00:00.0000,1.51E+08,-2.92E+08,-9.61E+06,1.88E+01,8.47E+00,-2.54E+00,1.10E+03,3.29E+08,1.20E+00
2454404.5, A.D. 2007-Oct-31 00:00:00.0000,1.53E+08,-2.91E+08,-9.83E+06,1.87E+01,8.56E+00,-2.53E+00,1.10E+03,3.29E+08,1.21E+00
2454405.5, A.D. 2007-Nov-01 00:00:00.0000,1.55E+08,-2.91E+08,-1.00E+07,1.87E+01,8.65E+00,-2.53E+00,1.10E+03,3.29E+08,1.21E+00
2454406.5, A.D. 2007-Nov-02 00:00:00.0000,1.56E+08,-2.90E+08,-1.03E+07,1.86E+01,8.75E+00,-2.53E+00,1.10E+03,3.30E+08,1.22E+00
2454407.5, A.D. 2007-Nov-03 00:00:00.0000,1.58E+08,-2.89E+08,-1.05E+07,1.86E+01,8.84E+00,-2.52E+00,1.10E+03,3.30E+08,1.23E+00
2454408.5, A.D. 2007-Nov-04 00:00:00.0000,1.60E+08,-2.88E+08,-1.07E+07,1.85E+01,8.93E+00,-2.52E+00,1.10E+03,3.30E+08,1.23E+00
2454409.5, A.D. 2007-Nov-05 00:00:00.0000,1.61E+08,-2.88E+08,-1.09E+07,1.85E+01,9.02E+00,-2.52E+00,1.10E+03,3.30E+08,1.24E+00
2454410.5, A.D. 2007-Nov-06 00:00:00.0000,1.63E+08,-2.87E+08,-1.11E+07,1.84E+01,9.12E+00,-2.51E+00,1.10E+03,3.30E+08,1.25E+00
2454411.5, A.D. 2007-Nov-07 00:00:00.0000,1.64E+08,-2.86E+08,-1.14E+07,1.84E+01,9.21E+00,-2.51E+00,1.10E+03,3.30E+08,1.25E+00
2454412.5, A.D. 2007-Nov-08 00:00:00.0000,1.66E+08,-2.85E+08,-1.16E+07,1.83E+01,9.30E+00,-2.51E+00,1.10E+03,3.30E+08,1.26E+00
2454413.5, A.D. 2007-Nov-09 00:00:00.0000,1.67E+08,-2.84E+08,-1.18E+07,1.83E+01,9.39E+00,-2.50E+00,1.10E+03,3.30E+08,1.27E+00
2454414.5, A.D. 2007-Nov-10 00:00:00.0000,1.69E+08,-2.84E+08,-1.20E+07,1.82E+01,9.48E+00,-2.50E+00,1.10E+03,3.30E+08,1.27E+00
2454415.5, A.D. 2007-Nov-11 00:00:00.0000,1.71E+08,-2.83E+08,-1.22E+07,1.82E+01,9.57E+00,-2.49E+00,1.10E+03,3.30E+08,1.28E+00
2454416.5, A.D. 2007-Nov-12 00:00:00.0000,1.72E+08,-2.82E+08,-1.24E+07,1.81E+01,9.66E+00,-2.49E+00,1.10E+03,3.31E+08,1.28E+00
2454417.5, A.D. 2007-Nov-13 00:00:00.0000,1.74E+08,-2.81E+08,-1.26E+07,1.80E+01,9.75E+00,-2.49E+00,1.10E+03,3.31E+08,1.29E+00
2454418.5, A.D. 2007-Nov-14 00:00:00.0000,1.75E+08,-2.80E+08,-1.29E+07,1.80E+01,9.84E+00,-2.48E+00,1.10E+03,3.31E+08,1.30E+00
2454419.5, A.D. 2007-Nov-15 00:00:00.0000,1.77E+08,-2.79E+08,-1.31E+07,1.79E+01,9.93E+00,-2.48E+00,1.10E+03,3.31E+08,1.30E+00
2454420.5, A.D. 2007-Nov-16 00:00:00.0000,1.78E+08,-2.79E+08,-1.33E+07,1.79E+01,1.00E+01,-2.47E+00,1.10E+03,3.31E+08,1.31E+00
2454421.5, A.D. 2007-Nov-17 00:00:00.0000,1.80E+08,-2.78E+08,-1.35E+07,1.78E+01,1.01E+01,-2.47E+00,1.10E+03,3.31E+08,1.32E+00
2454422.5, A.D. 2007-Nov-18 00:00:00.0000,1.81E+08,-2.77E+08,-1.37E+07,1.78E+01,1.02E+01,-2.47E+00,1.11E+03,3.31E+08,1.32E+00
2454423.5, A.D. 2007-Nov-19 00:00:00.0000,1.83E+08,-2.76E+08,-1.39E+07,1.77E+01,1.03E+01,-2.46E+00,1.11E+03,3.31E+08,1.33E+00
2454424.5, A.D. 2007-Nov-20 00:00:00.0000,1.85E+08,-2.75E+08,-1.41E+07,1.77E+01,1.04E+01,-2.46E+00,1.11E+03,3.32E+08,1.33E+00
2454425.5, A.D. 2007-Nov-21 00:00:00.0000,1.86E+08,-2.74E+08,-1.44E+07,1.76E+01,1.04E+01,-2.45E+00,1.11E+03,3.32E+08,1.34E+00
2454426.5, A.D. 2007-Nov-22 00:00:00.0000,1.88E+08,-2.73E+08,-1.46E+07,1.75E+01,1.05E+01,-2.45E+00,1.11E+03,3.32E+08,1.35E+00
2454427.5, A.D. 2007-Nov-23 00:00:00.0000,1.89E+08,-2.72E+08,-1.48E+07,1.75E+01,1.06E+01,-2.44E+00,1.11E+03,3.32E+08,1.35E+00
2454428.5, A.D. 2007-Nov-24 00:00:00.0000,1.91E+08,-2.71E+08,-1.50E+07,1.74E+01,1.07E+01,-2.44E+00,1.11E+03,3.32E+08,1.36E+00
2454429.5, A.D. 2007-Nov-25 00:00:00.0000,1.92E+08,-2.70E+08,-1.52E+07,1.74E+01,1.08E+01,-2.43E+00,1.11E+03,3.32E+08,1.36E+00
2454430.5, A.D. 2007-Nov-26 00:00:00.0000,1.94E+08,-2.70E+08,-1.54E+07,1.73E+01,1.09E+01,-2.43E+00,1.11E+03,3.32E+08,1.37E+00
2454431.5, A.D. 2007-Nov-27 00:00:00.0000,1.95E+08,-2.69E+08,-1.56E+07,1.72E+01,1.10E+01,-2.42E+00,1.11E+03,3.32E+08,1.37E+00
2454432.5, A.D. 2007-Nov-28 00:00:00.0000,1.97E+08,-2.68E+08,-1.58E+07,1.72E+01,1.10E+01,-2.42E+00,1.11E+03,3.32E+08,1.38E+00
2454433.5, A.D. 2007-Nov-29 00:00:00.0000,1.98E+08,-2.67E+08,-1.60E+07,1.71E+01,1.11E+01,-2.41E+00,1.11E+03,3.33E+08,1.39E+00
2454434.5, A.D. 2007-Nov-30 00:00:00.0000,2.00E+08,-2.66E+08,-1.62E+07,1.71E+01,1.12E+01,-2.41E+00,1.11E+03,3.33E+08,1.39E+00
2454435.5, A.D. 2007-Dec-01 00:00:00.0000,2.01E+08,-2.65E+08,-1.65E+07,1.70E+01,1.13E+01,-2.40E+00,1.11E+03,3.33E+08,1.40E+00
2454436.5, A.D. 2007-Dec-02 00:00:00.0000,2.02E+08,-2.64E+08,-1.67E+07,1.69E+01,1.14E+01,-2.40E+00,1.11E+03,3.33E+08,1.40E+00
2454437.5, A.D. 2007-Dec-03 00:00:00.0000,2.04E+08,-2.63E+08,-1.69E+07,1.69E+01,1.15E+01,-2.39E+00,1.11E+03,3.33E+08,1.41E+00
2454438.5, A.D. 2007-Dec-04 00:00:00.0000,2.05E+08,-2.62E+08,-1.71E+07,1.68E+01,1.15E+01,-2.39E+00,1.11E+03,3.33E+08,1.41E+00
2454439.5, A.D. 2007-Dec-05 00:00:00.0000,2.07E+08,-2.61E+08,-1.73E+07,1.67E+01,1.16E+01,-2.38E+00,1.11E+03,3.33E+08,1.42E+00
2454440.5, A.D. 2007-Dec-06 00:00:00.0000,2.08E+08,-2.60E+08,-1.75E+07,1.67E+01,1.17E+01,-2.38E+00,1.11E+03,3.33E+08,1.42E+00
2454441.5, A.D. 2007-Dec-07 00:00:00.0000,2.10E+08,-2.59E+08,-1.77E+07,1.66E+01,1.18E+01,-2.37E+00,1.11E+03,3.34E+08,1.43E+00
2454442.5, A.D. 2007-Dec-08 00:00:00.0000,2.11E+08,-2.58E+08,-1.79E+07,1.65E+01,1.19E+01,-2.37E+00,1.11E+03,3.34E+08,1.43E+00
2454443.5, A.D. 2007-Dec-09 00:00:00.0000,2.13E+08,-2.57E+08,-1.81E+07,1.65E+01,1.19E+01,-2.36E+00,1.11E+03,3.34E+08,1.44E+00
2454444.5, A.D. 2007-Dec-10 00:00:00.0000,2.14E+08,-2.56E+08,-1.83E+07,1.64E+01,1.20E+01,-2.36E+00,1.11E+03,3.34E+08,1.44E+00
2454445.5, A.D. 2007-Dec-11 00:00:00.0000,2.15E+08,-2.55E+08,-1.85E+07,1.63E+01,1.21E+01,-2.35E+00,1.11E+03,3.34E+08,1.45E+00
2454446.5, A.D. 2007-Dec-12 00:00:00.0000,2.17E+08,-2.54E+08,-1.87E+07,1.63E+01,1.22E+01,-2.34E+00,1.11E+03,3.34E+08,1.45E+00
2454447.5, A.D. 2007-Dec-13 00:00:00.0000,2.18E+08,-2.53E+08,-1.89E+07,1.62E+01,1.23E+01,-2.34E+00,1.12E+03,3.34E+08,1.46E+00
2454448.5, A.D. 2007-Dec-14 00:00:00.0000,2.20E+08,-2.51E+08,-1.91E+07,1.61E+01,1.23E+01,-2.33E+00,1.12E+03,3.34E+08,1.46E+00
2454449.5, A.D. 2007-Dec-15 00:00:00.0000,2.21E+08,-2.50E+08,-1.93E+07,1.61E+01,1.24E+01,-2.33E+00,1.12E+03,3.35E+08,1.47E+00
2454450.5, A.D. 2007-Dec-16 00:00:00.0000,2.22E+08,-2.49E+08,-1.95E+07,1.60E+01,1.25E+01,-2.32E+00,1.12E+03,3.35E+08,1.47E+00
2454451.5, A.D. 2007-Dec-17 00:00:00.0000,2.24E+08,-2.48E+08,-1.97E+07,1.59E+01,1.26E+01,-2.31E+00,1.12E+03,3.35E+08,1.48E+00
