*******************************************************************************
JPL/HORIZONS                  4 Vesta (A807 FA)            2021-Sep-23 02:38:15
Rec #:       4 (+COV) Soln.date: 2021-Apr-13_11:15:57   # obs: 9451 (1950-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .47385
   EC= .08857261385730482  QR= 2.15270823108896    TP= 2458247.8038331456
   OM= 103.8092892453337   W=  150.8357762126256   IN= 7.14181494423702
   A= 2.361908654291772    MA= 163.3754032354997   ADIST= 2.571109077494583
   PER= 3.62997            N= .271524746           ANGMOM= .026333145
   DAN= 2.53982            DDN= 2.17514            L= 254.8345779
   B= 3.4734313            MOID= 1.13987994        TP= 2018-May-09.3038331456
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 17.28824            RAD= 262.7              ROTPER= 5.342128
   H= 3.31                 G= .320                 B-V= .782
                           ALBEDO= .4228           STYP= V
 
ASTEROID comments: 
1: soln ref.= JPL#36, OCC=0           radar(2977 delay, 0 Dop
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Sep 23 02:38:15 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 4 Vesta (A807 FA)               {source: JPL#36}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2007-Sep-28 00:00:00.0000 TDB
Stop  time      : A.D. 2011-Jun-16 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .47385        
   EC= .08857261385730482  QR= 2.15270823108896    TP= 2458247.8038331456      
   OM= 103.8092892453337   W=  150.8357762126256   IN= 7.14181494423702        
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.243605461680222E+00  Y= 2.133870405923554E+00  Z= 6.874866847781977E-01
  VX=-8.779290950353064E-03 VY= 4.462599423343603E-03 VZ= 2.927653651039283E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 17.28824            RAD= 262.7              ROTPER= 5.342128            
   H= 3.31                 G= .320                 B-V= .782                   
                           ALBEDO= .4228           STYP= V                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2454371.500000000, A.D. 2007-Sep-28 00:00:00.0000,  9.763758658565462E+07, -3.112422725513595E+08, -2.494679705065310E+06,  2.007686728721608E+01,  5.312907979590211E+00, -2.599308742415868E+00,  1.088109771166546E+03,  3.262071028718364E+08,  9.599415669078203E-01,
2454372.500000000, A.D. 2007-Sep-29 00:00:00.0000,  9.937082601206611E+07, -3.107788001289110E+08, -2.719223293716624E+06,  2.004432449639489E+01,  5.415581708842208E+00, -2.598447263471757E+00,  1.088387583241682E+03,  3.262903888367033E+08,  9.679686123730260E-01,
2454373.500000000, A.D. 2007-Sep-30 00:00:00.0000,  1.011012301219341E+08, -3.103064667506897E+08, -2.943689277481750E+06,  2.001123529317825E+01,  5.518022153427602E+00, -2.597512357153302E+00,  1.088667703789369E+03,  3.263743668642309E+08,  9.759614973807540E-01,
2454374.500000000, A.D. 2007-Oct-01 00:00:00.0000,  1.028287517919412E+08, -3.098252927129715E+08, -3.168071318538800E+06,  1.997760168837041E+01,  5.620226064928050E+00, -2.596504169903965E+00,  1.088950122931397E+03,  3.264590339930058E+08,  9.839199920205653E-01,
2454375.500000000, A.D. 2007-Oct-02 00:00:00.0000,  1.045533440734190E+08, -3.093352985917997E+08, -3.392363091857359E+06,  1.994342571393014E+01,  5.722190215683526E+00, -2.595422851377521E+00,  1.089234830723649E+03,  3.265443872418567E+08,  9.918438688476482E-01,
2454376.500000000, A.D. 2007-Oct-03 00:00:00.0000,  1.062749601941656E+08, -3.088365052411858E+08, -3.616558285474837E+06,  1.990870942272500E+01,  5.823911398932534E+00, -2.594268554414227E+00,  1.089521817156816E+03,  3.266304236100684E+08,  9.997329029022767E-01,
2454377.500000000, A.D. 2007-Oct-04 00:00:00.0000,  1.079935535602412E+08, -3.083289337912977E+08, -3.840650600770995E+06,  1.987345488828653E+01,  5.925386428947188E+00, -2.593041435017076E+00,  1.089811072157116E+03,  3.267171400775973E+08,  1.007586871731107E+00,
2454378.500000000, A.D. 2007-Oct-05 00:00:00.0000,  1.097090777577429E+08, -3.078126056466368E+08, -4.064633752739996E+06,  1.983766420456694E+01,  6.026612141163105E+00, -2.591741652328186E+00,  1.090102585587022E+03,  3.268045336052888E+08,  1.015405555410632E+00,
2454379.500000000, A.D. 2007-Oct-06 00:00:00.0000,  1.114214865545589E+08, -3.072875424842042E+08, -4.288501470260575E+06,  1.980133948569798E+01,  6.127585392304039E+00, -2.590369368605382E+00,  1.090396347245991E+03,  3.268926011350973E+08,  1.023188736573118E+00,
2454380.500000000, A.D. 2007-Oct-07 00:00:00.0000,  1.131307339021016E+08, -3.067537662516561E+08, -4.512247496364400E+06,  1.976448286575276E+01,  6.228303060501310E+00, -2.588924749199067E+00,  1.090692346871207E+03,  3.269813395903078E+08,  1.030936200435305E+00,
