*******************************************************************************
JPL/HORIZONS                  1 Ceres (A801 AA)            2021-Sep-23 02:45:25
Rec #:       1 (+COV) Soln.date: 2021-Apr-13_11:04:44   # obs: 1075 (1995-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .24563
   EC= .07687465013145245  QR= 2.556401146697176   TP= 2458240.1791309435
   OM= 80.3011901917491    W=  73.80896808746482   IN= 10.59127767086216
   A= 2.769289292143484    MA= 130.3159688200986   ADIST= 2.982177437589792
   PER= 4.60851            N= .213870839           ANGMOM= .028541613
   DAN= 2.69515            DDN= 2.81323            L= 153.8445988
   B= 10.1666388           MOID= 1.59231997        TP= 2018-May-01.6791309435
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 62.6284             RAD= 469.7              ROTPER= 9.07417
   H= 3.53                 G= .120                 B-V= .713
                           ALBEDO= .090            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#48, OCC=0           radar(60 delay, 0 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Sep 23 02:45:25 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1 Ceres (A801 AA)               {source: JPL#48}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2007-Sep-28 00:00:00.0000 TDB
Stop  time      : A.D. 2015-Mar-05 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .24563        
   EC= .07687465013145245  QR= 2.556401146697176   TP= 2458240.1791309435      
   OM= 80.3011901917491    W=  73.80896808746482   IN= 10.59127767086216       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.007608869613381E+00  Y=-2.390064275223502E+00  Z=-1.332124522752402E+00
  VX= 9.201724467227128E-03 VY= 3.370381135398406E-03 VZ=-2.850337057661093E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 62.6284             RAD= 469.7              ROTPER= 9.07417             
   H= 3.53                 G= .120                 B-V= .713                   
                           ALBEDO= .090            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2454371.500000000, A.D. 2007-Sep-28 00:00:00.0000,  3.328315195893415E+08,  2.605913795326817E+08, -5.322073869415572E+07, -1.136407064978504E+01,  1.292067020771510E+01,  2.496753352079220E+00,  1.421144081109838E+03,  4.260482772480696E+08, -1.286672699274574E+00,
2454372.500000000, A.D. 2007-Sep-29 00:00:00.0000,  3.318475333443222E+08,  2.617060538016439E+08, -5.300467865997932E+07, -1.141337083772038E+01,  1.288194227829208E+01,  2.504632015201394E+00,  1.420772947050104E+03,  4.259370140560546E+08, -1.288861680718246E+00,
2454373.500000000, A.D. 2007-Sep-30 00:00:00.0000,  3.308592922105113E+08,  2.628173735223354E+08, -5.278793902910398E+07, -1.146256331978779E+01,  1.284301865329689E+01,  2.512484734740148E+00,  1.420401184267129E+03,  4.258255623775535E+08, -1.291035804109124E+00,
2454374.500000000, A.D. 2007-Oct-01 00:00:00.0000,  3.298668055263972E+08,  2.639253217934170E+08, -5.257052204886528E+07, -1.151164733881674E+01,  1.280389948962181E+01,  2.520311376181697E+00,  1.420028797050137E+03,  4.257139234984438E+08, -1.293195019886412E+00,
2454375.500000000, A.D. 2007-Oct-02 00:00:00.0000,  3.288700826959382E+08,  2.650298817272227E+08, -5.235242997822699E+07, -1.156062213647205E+01,  1.276458494688924E+01,  2.528111804868815E+00,  1.419655789702625E+03,  4.256020987088810E+08, -1.295339278591144E+00,
2454376.500000000, A.D. 2007-Oct-03 00:00:00.0000,  3.278691331886628E+08,  2.661310364499957E+08, -5.213366508779340E+07, -1.160948695325702E+01,  1.272507518745139E+01,  2.535885886000887E+00,  1.419282166542323E+03,  4.254900893032883E+08, -1.297468530875773E+00,
2454377.500000000, A.D. 2007-Oct-04 00:00:00.0000,  3.268639665397703E+08,  2.672287691021248E+08, -5.191422965982187E+07, -1.165824102851491E+01,  1.268537037638842E+01,  2.543633484633687E+00,  1.418907931901170E+03,  4.253778965803483E+08, -1.299582727513693E+00,
2454378.500000000, A.D. 2007-Oct-05 00:00:00.0000,  3.258545923502306E+08,  2.683230628383790E+08, -5.169412598823510E+07, -1.170688360042801E+01,  1.264547068150475E+01,  2.551354465678813E+00,  1.418533090125272E+03,  4.252655218429907E+08, -1.301681819408377E+00,
2454379.500000000, A.D. 2007-Oct-06 00:00:00.0000,  3.248410202868854E+08,  2.694139008281432E+08, -5.147335637863370E+07, -1.175541390601388E+01,  1.260537627332376E+01,  2.559048693902728E+00,  1.418157645574864E+03,  4.251529663983814E+08, -1.303765757601813E+00,
2454380.500000000, A.D. 2007-Oct-07 00:00:00.0000,  3.238232600825482E+08,  2.705012662556530E+08, -5.125192314830876E+07, -1.180383118111780E+01,  1.256508732508068E+01,  2.566716033925310E+00,  1.417781602624271E+03,  4.250402315579096E+08, -1.305834493281543E+00,
